Year,Eastern Europe,Nordics,Southern Europe,Western Europe
2004,13.209666666666667,39.9628,10.750125,6.4717142857142855
2005,13.391666666666667,41.018,11.193375,7.117
2006,13.198666666666666,41.910199999999996,11.27875,7.665142857142857
2007,13.518666666666666,44.571,11.9555,8.609857142857143
2008,14.404666666666666,44.70399999999999,12.41325,9.149000000000001
2009,16.775555555555556,46.6652,13.671375,10.184142857142858
2010,16.998333333333335,46.5902,14.2945,10.581428571428571
2011,17.825888888888887,48.0978,14.529250000000001,10.731571428571428
2012,19.016222222222225,49.5498,15.784500000000001,11.629714285714286
2013,19.953666666666667,50.8446,17.029375,11.954142857142857
2014,20.47288888888889,52.1086,17.7895,12.676142857142858
2015,21.07188888888889,52.482600000000005,18.3525,13.006428571428572
2016,20.944666666666667,53.5638,18.37075,13.264142857142858
2017,20.956888888888887,54.5548,18.741375,13.830285714285713
2018,21.517666666666667,55.799800000000005,19.279375,14.796857142857144
2019,22.790222222222223,57.726,19.841250000000002,15.147857142857143
2020,23.485666666666667,59.3654,22.61575,18.51457142857143
2021,23.961888888888886,60.2992,22.926000000000002,17.73257142857143
2022,24.734666666666666,62.18240000000001,23.07075,18.805857142857143
2023,26.038888888888888,63.4156,24.173375,21.055714285714288
2024,27.233333333333334,63.739,24.531000000000002,21.99657142857143
