Year,Coal,Gas,Oil,Hydro,Solar,Wind,Bioenergy,Nuclear,Other Renewables
1990,32.05,39.71,106.49,31.63,0.0,0.0,0.05,0.0,3.27
1991,28.5,36.34,108.06,42.24,0.0,0.0,0.11,0.0,3.29
1992,21.36,35.48,120.07,42.2,0.01,0.0,0.1,0.0,3.56
1993,16.66,39.96,117.9,41.42,0.01,0.0,0.12,0.0,3.79
1994,19.86,40.8,119.84,44.66,0.01,0.01,0.15,0.0,3.57
1995,24.12,47.0,124.79,37.78,0.01,0.01,0.22,0.0,3.66
1996,22.08,50.19,120.9,42.04,0.01,0.03,0.38,0.0,4.14
1997,20.51,61.29,118.51,41.6,0.01,0.12,0.56,0.0,4.46
1998,23.31,70.88,112.99,41.22,0.02,0.23,0.8,0.0,5.01
1999,23.81,86.98,97.14,45.37,0.02,0.4,1.13,0.0,5.53
2000,26.28,101.36,91.43,44.2,0.02,0.56,1.39,0.0,6.09
2001,31.73,104.19,81.63,46.81,0.02,1.18,1.83,0.0,6.34
2002,35.45,99.41,94.36,39.52,0.02,1.4,2.71,0.0,7.37
2003,38.81,117.3,83.3,36.67,0.02,1.46,3.37,0.0,8.71
2004,45.52,129.84,64.48,42.34,0.03,1.84,4.22,0.0,9.66
2005,43.61,149.33,53.26,36.07,0.03,2.34,4.67,0.0,9.99
2006,44.21,158.14,52.62,36.99,0.04,2.97,5.11,0.0,10.64
2007,44.11,172.71,41.63,32.82,0.04,4.03,5.26,0.0,10.83
2008,43.07,172.77,37.57,41.62,0.19,4.86,5.97,0.0,11.49
2009,39.74,147.36,30.0,49.14,0.68,6.54,7.56,0.0,12.9
2010,39.73,152.81,27.12,51.12,1.91,9.12,9.44,0.0,14.82
2011,44.73,144.6,26.09,45.82,10.8,9.85,10.83,0.0,16.48
2012,49.14,129.14,24.75,41.87,18.86,13.41,12.49,0.0,18.08
2013,45.1,108.91,20.01,52.77,21.59,14.9,17.08,0.0,22.74
2014,43.45,93.66,18.74,58.55,22.31,15.18,18.72,0.0,24.64
2015,43.2,110.88,16.73,45.54,22.94,14.84,19.39,0.0,25.57
2016,35.61,126.17,16.16,42.43,22.1,17.69,19.5,0.0,25.79
2017,32.63,140.36,15.21,36.2,24.38,17.74,19.37,0.0,25.57
2018,28.47,128.56,14.62,48.79,22.65,17.72,19.14,0.0,25.25
2019,18.84,141.7,13.62,46.32,23.69,20.2,19.55,0.0,25.62
2020,13.38,133.7,12.83,47.55,24.94,18.76,19.62,0.0,25.65
2021,14.02,144.01,11.13,45.39,25.04,20.93,19.06,0.0,24.97
2022,22.61,141.47,15.63,28.4,28.12,20.49,17.61,0.0,23.45
2023,13.22,119.02,12.79,40.52,30.71,23.54,16.01,0.0,21.7
2024,3.95,118.59,10.78,53.13,35.99,22.17,17.23,0.0,22.9
2025,3.73,125.05,6.81,41.27,44.63,21.43,15.61,0.0,21.3
