geo,Region,Renewables_Share,Import_Dependency
AT,Western Europe,34.057,99.905
AT,Western Europe,34.057,125.01
AT,Western Europe,34.057,98.084
AT,Western Europe,34.057,101.695
AT,Western Europe,34.057,100.0
AT,Western Europe,34.057,100.0
AT,Western Europe,34.057,149.119
AT,Western Europe,34.057,94.712
AT,Western Europe,34.057,91.471
AT,Western Europe,34.057,0.0
AT,Western Europe,34.057,0.0
AT,Western Europe,34.057,0.0
AT,Western Europe,34.057,73.978
BE,Western Europe,13.831,99.462
BE,Western Europe,13.831,13.216
BE,Western Europe,13.831,103.741
BE,Western Europe,13.831,108.664
BE,Western Europe,13.831,0.804
BE,Western Europe,13.831,0.0
BE,Western Europe,13.831,100.803
BE,Western Europe,13.831,100.603
BE,Western Europe,13.831,99.726
BE,Western Europe,13.831,0.0
BE,Western Europe,13.831,0.0
BE,Western Europe,13.831,0.0
BE,Western Europe,13.831,73.697
BG,Eastern Europe,19.079,11.572
BG,Eastern Europe,19.079,194.43
BG,Eastern Europe,19.079,0.0
BG,Eastern Europe,19.079,198.274
BG,Eastern Europe,19.079,0.0
BG,Eastern Europe,19.079,-1.351
BG,Eastern Europe,19.079,106.103
BG,Eastern Europe,19.079,106.066
BG,Eastern Europe,19.079,101.346
BG,Eastern Europe,19.079,0.0
BG,Eastern Europe,19.079,0.0
BG,Eastern Europe,19.079,0.0
BG,Eastern Europe,19.079,37.11
CY,Southern Europe,19.427,147.327
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,147.327
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,100.216
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,0.0
CY,Southern Europe,19.427,92.018
CZ,Eastern Europe,18.123,14.103
CZ,Eastern Europe,18.123,59.948
CZ,Eastern Europe,18.123,69.957
CZ,Eastern Europe,18.123,59.585
CZ,Eastern Europe,18.123,0.0
CZ,Eastern Europe,18.123,-4.098
CZ,Eastern Europe,18.123,113.376
CZ,Eastern Europe,18.123,99.871
CZ,Eastern Europe,18.123,99.571
CZ,Eastern Europe,18.123,0.0
CZ,Eastern Europe,18.123,0.0
CZ,Eastern Europe,18.123,0.0
CZ,Eastern Europe,18.123,41.772
DE,Western Europe,20.829,50.407
DE,Western Europe,20.829,100.0
DE,Western Europe,20.829,100.0
DE,Western Europe,20.829,104.698
DE,Western Europe,20.829,0.0
DE,Western Europe,20.829,0.047
DE,Western Europe,20.829,105.896
DE,Western Europe,20.829,96.906
DE,Western Europe,20.829,98.027
DE,Western Europe,20.829,0.0
DE,Western Europe,20.829,0.0
DE,Western Europe,20.829,0.0
DE,Western Europe,20.829,68.652
DK,Nordics,41.368,105.814
DK,Nordics,41.368,0.0
DK,Nordics,41.368,0.0
