"Renewable energy share in the total final energy consumption, %"
Country_ID, Country_E, Indicator_Id, Indicator_E, Period, Value
"724","Spain","T","Total","2012","15.75"
"724","Spain","T","Total","2013","16.91"
"724","Spain","T","Total","2014","17.32"
"724","Spain","T","Total","2015","16.3"
"724","Spain","T","Total","2016","16.71"
"724","Spain","T","Total","2017","15.18"
"724","Spain","T","Total","2018","16.9"
"724","Spain","T","Total","2019","16.68"
"724","Spain","T","Total","2020","19.34"
"724","Spain","T","Total","2021","18.96"
"724","Spain","T","Total","2022","18.18"
"643","Russian Federation","T","Total","2012","3.24"
"643","Russian Federation","T","Total","2013","3.61"
"643","Russian Federation","T","Total","2014","3.3"
"643","Russian Federation","T","Total","2015","3.2"
"643","Russian Federation","T","Total","2016","3.36"
"643","Russian Federation","T","Total","2017","3.25"
"643","Russian Federation","T","Total","2018","3.19"
"643","Russian Federation","T","Total","2019","3.25"
"643","Russian Federation","T","Total","2020","3.75"
"643","Russian Federation","T","Total","2021","3.58"
"643","Russian Federation","T","Total","2022","3.4"
"578","Norway","T","Total","2012","56.94"
"578","Norway","T","Total","2013","56.6"
"578","Norway","T","Total","2014","55.74"
"578","Norway","T","Total","2015","56.54"
"578","Norway","T","Total","2016","57.68"
"578","Norway","T","Total","2017","58.85"
"578","Norway","T","Total","2018","58.92"
"578","Norway","T","Total","2019","59.72"
"578","Norway","T","Total","2020","60.82"
"578","Norway","T","Total","2021","61.67"
"578","Norway","T","Total","2022","60.26"
"070","Bosnia and Herzegovina","T","Total","2015","25.25"
"070","Bosnia and Herzegovina","T","Total","2016","23"
"070","Bosnia and Herzegovina","T","Total","2017","18.49"
"070","Bosnia and Herzegovina","T","Total","2018","35.36"
"070","Bosnia and Herzegovina","T","Total","2019","36.84"
"070","Bosnia and Herzegovina","T","Total","2020","37.71"
"070","Bosnia and Herzegovina","T","Total","2021","36.61"
"070","Bosnia and Herzegovina","T","Total","2022","37.25"
"100","Bulgaria","T","Total","2012","15.61"
"040","Austria","T","Total","2012","34.37"
"040","Austria","T","Total","2013","34.58"
"040","Austria","T","Total","2014","35.67"
"040","Austria","T","Total","2015","34.82"
"040","Austria","T","Total","2016","34.63"
"040","Austria","T","Total","2017","33.97"
"040","Austria","T","Total","2018","34.09"
"040","Austria","T","Total","2019","33.99"
"040","Austria","T","Total","2020","35.77"
"040","Austria","T","Total","2021","36.38"
"040","Austria","T","Total","2022","36.88"
"442","Luxembourg","T","Total","2012","4.15"
"442","Luxembourg","T","Total","2013","5.71"
"442","Luxembourg","T","Total","2014","6.85"
"442","Luxembourg","T","Total","2015","9.09"
"442","Luxembourg","T","Total","2016","13.5"
"442","Luxembourg","T","Total","2017","15.32"
"051","Armenia","T","Total","2012","6.56"
"051","Armenia","T","Total","2013","6.77"
"051","Armenia","T","Total","2014","7.08"
"051","Armenia","T","Total","2015","10.82"
"051","Armenia","T","Total","2016","13.26"
"051","Armenia","T","Total","2017","12.68"
"051","Armenia","T","Total","2018","12.62"
"051","Armenia","T","Total","2019","11.99"
"051","Armenia","T","Total","2020","10.46"
"051","Armenia","T","Total","2021","11.26"
"051","Armenia","T","Total","2022","10.3"
"196","Cyprus","T","Total","2013","9.73"
"196","Cyprus","T","Total","2014","9.49"
"196","Cyprus","T","Total","2015","10.41"
"196","Cyprus","T","Total","2016","10.27"
"196","Cyprus","T","Total","2017","10.94"
"196","Cyprus","T","Total","2018","12.02"
"196","Cyprus","T","Total","2019","11.97"
"196","Cyprus","T","Total","2020","15.02"
"196","Cyprus","T","Total","2021","15.58"
"196","Cyprus","T","Total","2022","15.83"
"762","Tajikistan","T","Total","2012","55.8"
"762","Tajikistan","T","Total","2013","55.12"
"762","Tajikistan","T","Total","2014","45.89"
"762","Tajikistan","T","Total","2015","48.11"
"762","Tajikistan","T","Total","2016","43.66"
"762","Tajikistan","T","Total","2017","44.23"
"762","Tajikistan","T","Total","2018","41.58"
"762","Tajikistan","T","Total","2019","40.07"
"056","Belgium","T","Total","2012","7.7"
"056","Belgium","T","Total","2013","8.33"
"056","Belgium","T","Total","2014","9.24"
"056","Belgium","T","Total","2015","9.49"
"056","Belgium","T","Total","2016","9.33"
"056","Belgium","T","Total","2017","9.78"
"056","Belgium","T","Total","2018","10.78"
"056","Belgium","T","Total","2019","10.35"
"056","Belgium","T","Total","2020","12.42"
"056","Belgium","T","Total","2021","11.79"
"056","Belgium","T","Total","2022","13.14"
"070","Bosnia and Herzegovina","T","Total","2012","15.28"
"070","Bosnia and Herzegovina","T","Total","2013","19.48"
"070","Bosnia and Herzegovina","T","Total","2014","23.65"
"191","Croatia","T","Total","2012","29.41"
"191","Croatia","T","Total","2013","32.83"
"191","Croatia","T","Total","2014","33.61"
"498","Republic of Moldova","T","Total","2012","22.14"
"498","Republic of Moldova","T","Total","2013","23.82"
"498","Republic of Moldova","T","Total","2014","24.31"
"498","Republic of Moldova","T","Total","2015","24.73"
"498","Republic of Moldova","T","Total","2016","25.3"
"498","Republic of Moldova","T","Total","2017","26.07"
"498","Republic of Moldova","T","Total","2018","25.31"
"498","Republic of Moldova","T","Total","2019","22.02"
"498","Republic of Moldova","T","Total","2020","22.27"
"498","Republic of Moldova","T","Total","2021","21.43"
"498","Republic of Moldova","T","Total","2022","21.32"
"620","Portugal","T","Total","2012","25.52"
"620","Portugal","T","Total","2013","30.17"
"620","Portugal","T","Total","2014","30.46"
"620","Portugal","T","Total","2015","27.2"
"620","Portugal","T","Total","2016","29"
"620","Portugal","T","Total","2017","24.42"
"620","Portugal","T","Total","2018","27.47"
"620","Portugal","T","Total","2019","28.19"
"620","Portugal","T","Total","2020","31.33"
"620","Portugal","T","Total","2021","32.35"
"620","Portugal","T","Total","2022","31.45"
"703","Slovakia","T","Total","2012","17.18"
"703","Slovakia","T","Total","2013","16.76"
"703","Slovakia","T","Total","2014","15.8"
"703","Slovakia","T","Total","2015","18.7"
"703","Slovakia","T","Total","2016","18.85"
"703","Slovakia","T","Total","2017","17.69"
"703","Slovakia","T","Total","2018","16.52"
"703","Slovakia","T","Total","2019","17.59"
"703","Slovakia","T","Total","2020","17.64"
"703","Slovakia","T","Total","2021","17.89"
"703","Slovakia","T","Total","2022","17.22"
"020","Andorra","T","Total","2019","17.19"
"020","Andorra","T","Total","2020","20.89"
"020","Andorra","T","Total","2021","18.39"
"020","Andorra","T","Total","2022","18.74"
"031","Azerbaijan","T","Total","2012","2.84"
"031","Azerbaijan","T","Total","2013","2.52"
"031","Azerbaijan","T","Total","2014","2.12"
"031","Azerbaijan","T","Total","2015","2.33"
"031","Azerbaijan","T","Total","2016","1.93"
"031","Azerbaijan","T","Total","2017","1.9"
"031","Azerbaijan","T","Total","2018","1.92"
"031","Azerbaijan","T","Total","2019","1.69"
"031","Azerbaijan","T","Total","2020","1.29"
"031","Azerbaijan","T","Total","2021","1.32"
"031","Azerbaijan","T","Total","2022","1.27"
"112","Belarus","T","Total","2012","7.24"
"112","Belarus","T","Total","2013","6.97"
"112","Belarus","T","Total","2014","6.69"
"112","Belarus","T","Total","2015","6.82"
"112","Belarus","T","Total","2016","6.72"
"112","Belarus","T","Total","2017","7.28"
"112","Belarus","T","Total","2018","7.21"
"112","Belarus","T","Total","2019","7.81"
"112","Belarus","T","Total","2020","8.39"
"112","Belarus","T","Total","2021","8.22"
"112","Belarus","T","Total","2022","8.33"
"203","Czechia","T","Total","2012","12.8"
"203","Czechia","T","Total","2013","13.95"
"203","Czechia","T","Total","2014","14.85"
"203","Czechia","T","Total","2015","14.83"
"203","Czechia","T","Total","2016","14.77"
"203","Czechia","T","Total","2017","14.46"
"203","Czechia","T","Total","2018","14.71"
"203","Czechia","T","Total","2019","15.87"
"203","Czechia","T","Total","2020","16.96"
"203","Czechia","T","Total","2021","17.16"
"203","Czechia","T","Total","2022","17.21"
"528","Netherlands","T","Total","2012","4.9"
"528","Netherlands","T","Total","2013","4.96"
"528","Netherlands","T","Total","2014","5.57"
"528","Netherlands","T","Total","2015","5.77"
"528","Netherlands","T","Total","2016","5.63"
"528","Netherlands","T","Total","2017","6.4"
"246","Finland","T","Total","2012","38.7"
"246","Finland","T","Total","2013","38.52"
"246","Finland","T","Total","2014","41.25"
"246","Finland","T","Total","2015","43.23"
"246","Finland","T","Total","2016","42.37"
"246","Finland","T","Total","2017","44.35"
"246","Finland","T","Total","2018","44.25"
"246","Finland","T","Total","2019","45.39"
"246","Finland","T","Total","2020","47.3"
"246","Finland","T","Total","2021","50.17"
"246","Finland","T","Total","2022","49.59"
"792","Türkiye","T","Total","2021","12.02"
"792","Türkiye","T","Total","2022","13.81"
"795","Turkmenistan","T","Total","2012","0.05"
"795","Turkmenistan","T","Total","2013","0.06"
"795","Turkmenistan","T","Total","2014","0.06"
"795","Turkmenistan","T","Total","2015","0.05"
"795","Turkmenistan","T","Total","2016","0.05"
"795","Turkmenistan","T","Total","2017","0.06"
"795","Turkmenistan","T","Total","2018","0.05"
"795","Turkmenistan","T","Total","2019","0.05"
"795","Turkmenistan","T","Total","2020","0.05"
"795","Turkmenistan","T","Total","2021","0.04"
"795","Turkmenistan","T","Total","2022","0.03"
"804","Ukraine","T","Total","2012","2.86"
"804","Ukraine","T","Total","2013","3.49"
"804","Ukraine","T","Total","2014","3.5"
"804","Ukraine","T","Total","2015","4.15"
"804","Ukraine","T","Total","2016","5.48"
"804","Ukraine","T","Total","2017","6.48"
"804","Ukraine","T","Total","2018","6.92"
"804","Ukraine","T","Total","2019","7.44"
"804","Ukraine","T","Total","2020","8.72"
"804","Ukraine","T","Total","2021","9"
"804","Ukraine","T","Total","2022","11.65"
"807","North Macedonia","T","Total","2012","18.27"
"807","North Macedonia","T","Total","2013","21.16"
"807","North Macedonia","T","Total","2014","21.19"
"807","North Macedonia","T","Total","2015","23.91"
"807","North Macedonia","T","Total","2016","21.37"
"807","North Macedonia","T","Total","2017","19"
"807","North Macedonia","T","Total","2018","20.87"
"807","North Macedonia","T","Total","2019","17.05"
"807","North Macedonia","T","Total","2020","20.02"
"807","North Macedonia","T","Total","2021","19.69"
"807","North Macedonia","T","Total","2022","19.2"
"705","Slovenia","T","Total","2016","20.96"
"705","Slovenia","T","Total","2017","19.71"
"705","Slovenia","T","Total","2018","20.63"
"705","Slovenia","T","Total","2019","20.86"
"705","Slovenia","T","Total","2020","22.7"
"705","Slovenia","T","Total","2021","23.39"
"705","Slovenia","T","Total","2022","19.98"
"752","Sweden","T","Total","2012","48.29"
"752","Sweden","T","Total","2013","47.27"
"752","Sweden","T","Total","2014","48.61"
"752","Sweden","T","Total","2015","51.91"
"233","Estonia","T","Total","2012","24.96"
"233","Estonia","T","Total","2013","24.47"
"233","Estonia","T","Total","2014","25.29"
"233","Estonia","T","Total","2015","28.17"
"233","Estonia","T","Total","2016","27.23"
"233","Estonia","T","Total","2017","27.52"
"233","Estonia","T","Total","2018","28.56"
"233","Estonia","T","Total","2019","31.21"
"233","Estonia","T","Total","2020","40.28"
"233","Estonia","T","Total","2021","37.77"
"233","Estonia","T","Total","2022","37.01"
"250","France","T","Total","2012","12.4"
"250","France","T","Total","2013","13.45"
"250","France","T","Total","2014","13.25"
"250","France","T","Total","2015","13.41"
"250","France","T","Total","2016","14.36"
"250","France","T","Total","2017","14.18"
"250","France","T","Total","2018","15.34"
"250","France","T","Total","2019","15.68"
"250","France","T","Total","2020","16.89"
"250","France","T","Total","2021","16.38"
"268","Georgia","T","Total","2015","27.54"
"268","Georgia","T","Total","2016","27.18"
"268","Georgia","T","Total","2017","27.52"
"268","Georgia","T","Total","2018","27.37"
"268","Georgia","T","Total","2019","24.69"
"268","Georgia","T","Total","2020","23.45"
"268","Georgia","T","Total","2021","25.18"
"268","Georgia","T","Total","2022","22.53"
"276","Germany","T","Total","2012","13.64"
"276","Germany","T","Total","2013","13.63"
"276","Germany","T","Total","2014","14.02"
"276","Germany","T","Total","2015","14.55"
"276","Germany","T","Total","2016","14.24"
"276","Germany","T","Total","2017","15.22"
"276","Germany","T","Total","2018","16.04"
"276","Germany","T","Total","2019","17.07"
"276","Germany","T","Total","2020","18.52"
"276","Germany","T","Total","2021","17.94"
"276","Germany","T","Total","2022","19.56"
"752","Sweden","T","Total","2016","50.97"
"752","Sweden","T","Total","2017","51.85"
"752","Sweden","T","Total","2018","51.51"
"752","Sweden","T","Total","2019","52.69"
"752","Sweden","T","Total","2020","57.63"
"752","Sweden","T","Total","2021","57.72"
"752","Sweden","T","Total","2022","59.65"
"300","Greece","T","Total","2012","14.17"
"300","Greece","T","Total","2013","16.61"
"300","Greece","T","Total","2014","16.41"
"300","Greece","T","Total","2015","17.47"
"300","Greece","T","Total","2016","16.42"
"300","Greece","T","Total","2017","16.4"
"300","Greece","T","Total","2018","17.87"
"300","Greece","T","Total","2019","18.54"
"300","Greece","T","Total","2020","20.09"
"300","Greece","T","Total","2021","21.48"
"300","Greece","T","Total","2022","21.01"
"348","Hungary","T","Total","2012","16.47"
"348","Hungary","T","Total","2013","17.18"
"348","Hungary","T","Total","2014","15.72"
"348","Hungary","T","Total","2015","15.6"
"348","Hungary","T","Total","2016","15.34"
"348","Hungary","T","Total","2017","14.55"
"348","Hungary","T","Total","2018","13.6"
"348","Hungary","T","Total","2019","13.64"
"348","Hungary","T","Total","2020","14.76"
"348","Hungary","T","Total","2021","15.27"
"348","Hungary","T","Total","2022","16.41"
"840","United States","T","Total","2012","8.53"
"840","United States","T","Total","2013","8.88"
"840","United States","T","Total","2014","9.02"
"840","United States","T","Total","2015","8.89"
"840","United States","T","Total","2016","9.31"
"840","United States","T","Total","2017","9.71"
"840","United States","T","Total","2018","9.91"
"840","United States","T","Total","2019","10.22"
"840","United States","T","Total","2020","10.96"
"840","United States","T","Total","2021","10.9"
"840","United States","T","Total","2022","11.27"
"020","Andorra","T","Total","2012","18.76"
"020","Andorra","T","Total","2013","19.14"
"020","Andorra","T","Total","2014","19.45"
"020","Andorra","T","Total","2015","19.05"
"020","Andorra","T","Total","2016","18.94"
"020","Andorra","T","Total","2017","17.98"
